timestamp,consumption_kwh,temperature_c,humidity_pct,source_type
2024-01-01 00:00:00,97.436,17.04,67.36,synthetic_demo
2024-01-01 01:00:00,93.136,14.22,72.84,synthetic_demo
2024-01-01 02:00:00,91.428,15.07,71.37,synthetic_demo
2024-01-01 03:00:00,98.275,14.0,74.27,synthetic_demo
2024-01-01 04:00:00,96.589,9.33,72.76,synthetic_demo
2024-01-01 05:00:00,101.28,9.07,74.52,synthetic_demo
2024-01-01 06:00:00,104.385,9.99,74.73,synthetic_demo
2024-01-01 07:00:00,113.325,8.96,73.81,synthetic_demo
2024-01-01 08:00:00,114.473,9.15,70.95,synthetic_demo
2024-01-01 09:00:00,119.326,8.32,72.02,synthetic_demo
2024-01-01 10:00:00,125.165,10.9,67.27,synthetic_demo
2024-01-01 11:00:00,126.792,11.57,72.86,synthetic_demo
2024-01-01 12:00:00,127.314,11.75,70.12,synthetic_demo
2024-01-01 13:00:00,130.26,14.23,65.05,synthetic_demo
2024-01-01 14:00:00,132.506,14.73,64.6,synthetic_demo
2024-01-01 15:00:00,126.268,14.43,62.13,synthetic_demo
2024-01-01 16:00:00,123.009,17.11,70.66,synthetic_demo
2024-01-01 17:00:00,123.392,16.56,66.66,synthetic_demo
2024-01-01 18:00:00,121.334,19.55,59.25,synthetic_demo
2024-01-01 19:00:00,112.859,18.94,68.16,synthetic_demo
2024-01-01 20:00:00,108.845,18.95,61.31,synthetic_demo
2024-01-01 21:00:00,101.988,18.18,57.77,synthetic_demo
2024-01-01 22:00:00,94.97,19.97,68.3,synthetic_demo
2024-01-01 23:00:00,93.445,17.52,62.71,synthetic_demo
2024-01-02 00:00:00,98.046,16.28,64.47,synthetic_demo
2024-01-02 01:00:00,101.086,15.16,67.73,synthetic_demo
2024-01-02 02:00:00,99.236,14.93,73.44,synthetic_demo
2024-01-02 03:00:00,98.141,13.44,69.18,synthetic_demo
2024-01-02 04:00:00,101.373,12.29,64.11,synthetic_demo
2024-01-02 05:00:00,109.309,11.27,73.74,synthetic_demo
2024-01-02 06:00:00,113.157,12.53,67.46,synthetic_demo
2024-01-02 07:00:00,115.622,8.97,82.53,synthetic_demo
2024-01-02 08:00:00,119.343,8.68,73.35,synthetic_demo
2024-01-02 09:00:00,126.822,8.49,62.36,synthetic_demo
2024-01-02 10:00:00,126.316,10.7,73.32,synthetic_demo
2024-01-02 11:00:00,131.95,12.11,79.99,synthetic_demo
2024-01-02 12:00:00,137.513,11.65,78.56,synthetic_demo
2024-01-02 13:00:00,133.995,11.99,79.53,synthetic_demo
2024-01-02 14:00:00,131.422,13.3,64.1,synthetic_demo
2024-01-02 15:00:00,131.999,16.37,71.0,synthetic_demo
2024-01-02 16:00:00,127.381,17.68,61.64,synthetic_demo
2024-01-02 17:00:00,125.808,18.48,65.66,synthetic_demo
2024-01-02 18:00:00,125.66,17.82,58.76,synthetic_demo
2024-01-02 19:00:00,121.837,19.4,60.49,synthetic_demo
2024-01-02 20:00:00,114.324,19.43,60.3,synthetic_demo
2024-01-02 21:00:00,109.853,19.38,68.22,synthetic_demo
2024-01-02 22:00:00,100.96,19.67,67.47,synthetic_demo
2024-01-02 23:00:00,99.725,18.1,66.27,synthetic_demo
2024-01-03 00:00:00,98.457,17.73,58.46,synthetic_demo
2024-01-03 01:00:00,96.949,15.79,65.4,synthetic_demo
2024-01-03 02:00:00,103.372,14.76,64.15,synthetic_demo
2024-01-03 03:00:00,102.322,13.88,73.03,synthetic_demo
2024-01-03 04:00:00,105.397,10.17,77.91,synthetic_demo
2024-01-03 05:00:00,109.75,10.5,77.0,synthetic_demo
2024-01-03 06:00:00,113.87,9.52,68.82,synthetic_demo
2024-01-03 07:00:00,116.163,8.82,59.53,synthetic_demo
2024-01-03 08:00:00,122.196,9.08,64.16,synthetic_demo
2024-01-03 09:00:00,125.457,11.38,78.04,synthetic_demo
2024-01-03 10:00:00,130.603,9.05,71.02,synthetic_demo
2024-01-03 11:00:00,133.273,12.04,66.58,synthetic_demo
2024-01-03 12:00:00,133.626,9.89,80.48,synthetic_demo
2024-01-03 13:00:00,132.349,12.72,76.05,synthetic_demo
2024-01-03 14:00:00,134.69,14.61,68.14,synthetic_demo
2024-01-03 15:00:00,132.193,16.41,64.93,synthetic_demo
2024-01-03 16:00:00,125.964,17.77,64.52,synthetic_demo
2024-01-03 17:00:00,131.035,18.9,65.29,synthetic_demo
2024-01-03 18:00:00,127.612,18.33,72.67,synthetic_demo
2024-01-03 19:00:00,126.082,18.69,66.46,synthetic_demo
2024-01-03 20:00:00,115.587,20.44,66.4,synthetic_demo
2024-01-03 21:00:00,110.954,19.01,69.9,synthetic_demo
2024-01-03 22:00:00,102.088,17.21,59.83,synthetic_demo
2024-01-03 23:00:00,101.866,16.59,70.01,synthetic_demo
2024-01-04 00:00:00,96.271,15.93,65.35,synthetic_demo
2024-01-04 01:00:00,93.634,16.43,53.8,synthetic_demo
2024-01-04 02:00:00,95.523,14.71,57.29,synthetic_demo
2024-01-04 03:00:00,93.716,14.07,63.41,synthetic_demo
2024-01-04 04:00:00,102.39,11.53,73.45,synthetic_demo
2024-01-04 05:00:00,102.727,11.19,71.66,synthetic_demo
2024-01-04 06:00:00,108.543,10.96,72.23,synthetic_demo
2024-01-04 07:00:00,110.421,9.34,82.52,synthetic_demo
2024-01-04 08:00:00,116.771,10.09,65.74,synthetic_demo
2024-01-04 09:00:00,121.721,8.91,73.01,synthetic_demo
2024-01-04 10:00:00,125.989,9.77,73.9,synthetic_demo
2024-01-04 11:00:00,129.834,10.54,68.0,synthetic_demo
2024-01-04 12:00:00,133.554,10.6,71.77,synthetic_demo
2024-01-04 13:00:00,132.758,13.83,60.72,synthetic_demo
2024-01-04 14:00:00,132.606,13.97,75.64,synthetic_demo
2024-01-04 15:00:00,131.779,15.85,63.5,synthetic_demo
2024-01-04 16:00:00,127.169,17.61,75.47,synthetic_demo
2024-01-04 17:00:00,126.231,18.61,64.26,synthetic_demo
2024-01-04 18:00:00,123.984,19.67,68.61,synthetic_demo
2024-01-04 19:00:00,119.456,19.25,63.58,synthetic_demo
2024-01-04 20:00:00,113.952,19.03,63.89,synthetic_demo
2024-01-04 21:00:00,105.407,19.27,60.9,synthetic_demo
2024-01-04 22:00:00,98.908,16.84,66.6,synthetic_demo
2024-01-04 23:00:00,97.184,16.34,68.05,synthetic_demo
2024-01-05 00:00:00,91.423,15.58,63.23,synthetic_demo
2024-01-05 01:00:00,89.211,14.76,67.26,synthetic_demo
2024-01-05 02:00:00,92.144,15.14,64.49,synthetic_demo
2024-01-05 03:00:00,94.302,12.28,81.61,synthetic_demo
2024-01-05 04:00:00,96.933,11.71,70.18,synthetic_demo
2024-01-05 05:00:00,100.677,12.69,77.48,synthetic_demo
2024-01-05 06:00:00,100.536,9.9,71.28,synthetic_demo
2024-01-05 07:00:00,108.237,10.72,72.82,synthetic_demo
2024-01-05 08:00:00,110.718,8.54,66.87,synthetic_demo
2024-01-05 09:00:00,112.98,9.59,70.3,synthetic_demo
2024-01-05 10:00:00,119.434,9.19,73.95,synthetic_demo
2024-01-05 11:00:00,125.522,10.72,79.45,synthetic_demo
2024-01-05 12:00:00,125.595,13.17,70.42,synthetic_demo
2024-01-05 13:00:00,129.325,11.3,77.92,synthetic_demo
2024-01-05 14:00:00,125.034,15.18,70.71,synthetic_demo
2024-01-05 15:00:00,127.78,16.24,74.69,synthetic_demo
2024-01-05 16:00:00,120.382,16.45,66.07,synthetic_demo
2024-01-05 17:00:00,120.347,16.46,78.3,synthetic_demo
2024-01-05 18:00:00,113.405,19.08,61.57,synthetic_demo
2024-01-05 19:00:00,113.529,18.86,60.36,synthetic_demo
2024-01-05 20:00:00,105.648,19.94,57.17,synthetic_demo
2024-01-05 21:00:00,101.02,19.52,75.26,synthetic_demo
2024-01-05 22:00:00,97.151,20.91,66.44,synthetic_demo
2024-01-05 23:00:00,94.048,17.91,63.38,synthetic_demo
2024-01-06 00:00:00,88.413,16.06,72.96,synthetic_demo
2024-01-06 01:00:00,84.814,16.3,69.94,synthetic_demo
2024-01-06 02:00:00,86.053,15.05,77.45,synthetic_demo
2024-01-06 03:00:00,87.836,15.13,59.82,synthetic_demo
2024-01-06 04:00:00,92.385,13.29,67.88,synthetic_demo
2024-01-06 05:00:00,97.658,11.68,68.34,synthetic_demo
2024-01-06 06:00:00,99.631,12.21,60.31,synthetic_demo
2024-01-06 07:00:00,107.506,8.53,78.79,synthetic_demo
2024-01-06 08:00:00,110.013,9.02,71.7,synthetic_demo
2024-01-06 09:00:00,112.093,8.85,76.9,synthetic_demo
2024-01-06 10:00:00,117.951,9.99,83.98,synthetic_demo
2024-01-06 11:00:00,122.569,9.6,70.76,synthetic_demo
2024-01-06 12:00:00,124.955,13.05,67.32,synthetic_demo
2024-01-06 13:00:00,123.948,13.23,69.86,synthetic_demo
2024-01-06 14:00:00,121.016,13.02,74.38,synthetic_demo
2024-01-06 15:00:00,118.736,14.86,64.96,synthetic_demo
2024-01-06 16:00:00,117.464,17.66,62.11,synthetic_demo
2024-01-06 17:00:00,119.934,19.33,69.06,synthetic_demo
2024-01-06 18:00:00,113.116,21.51,63.7,synthetic_demo
2024-01-06 19:00:00,108.502,23.11,50.14,synthetic_demo
2024-01-06 20:00:00,103.04,20.29,56.78,synthetic_demo
2024-01-06 21:00:00,97.943,18.43,72.09,synthetic_demo
2024-01-06 22:00:00,90.549,16.56,68.27,synthetic_demo
2024-01-06 23:00:00,88.287,18.64,60.58,synthetic_demo
2024-01-07 00:00:00,91.009,16.44,65.52,synthetic_demo
2024-01-07 01:00:00,86.483,15.71,67.09,synthetic_demo
2024-01-07 02:00:00,87.684,14.18,72.08,synthetic_demo
2024-01-07 03:00:00,87.649,13.45,62.27,synthetic_demo
2024-01-07 04:00:00,93.677,13.69,64.64,synthetic_demo
2024-01-07 05:00:00,98.708,11.57,72.12,synthetic_demo
2024-01-07 06:00:00,103.567,10.39,71.31,synthetic_demo
